Week,Date,Tm1,Loc,Tm2
13,12/5/21,PHI,0,NYJ
13,12/5/21,IND,0,HOU
13,12/5/21,MIN,0,DET
13,12/5/21,NYG,0,MIA
13,12/5/21,ARI,0,CHI
13,12/5/21,LAC,0,CIN
13,12/5/21,DEN,0,KC
13,12/5/21,TB,0,ATL
13,12/5/21,WAS,0,LV
13,12/5/21,BAL,0,PIT
13,12/5/21,JAX,0,LAR
13,12/5/21,SF,0,SEA
13,12/6/21,NE,0,BUF
14,12/9/21,PIT,0,MIN
14,12/12/21,JAX,0,TEN
14,12/12/21,SF,0,CIN
14,12/12/21,NO,0,NYJ
14,12/12/21,ATL,0,CAR
14,12/12/21,LV,0,KC
14,12/12/21,SEA,0,HOU
14,12/12/21,BAL,0,CLE
14,12/12/21,DAL,0,WAS
14,12/12/21,NYG,0,LAC
14,12/12/21,DET,0,DEN
14,12/12/21,BUF,0,TB
14,12/12/21,CHI,0,GB
14,12/13/21,LAR,0,ARI
15,12/16/21,KC,0,LAC
15,12/19/21,GB,0,BAL
15,12/19/21,CAR,0,BUF
15,12/19/21,DAL,0,NYG
15,12/19/21,NE,0,IND
15,12/19/21,WAS,0,PHI
15,12/19/21,ARI,0,DET
15,12/19/21,NYJ,0,MIA
15,12/19/21,HOU,0,JAX
15,12/19/21,TEN,0,PIT
15,12/19/21,LV,0,CLE
15,12/19/21,CIN,0,DEN
15,12/19/21,ATL,0,SF
15,12/19/21,SEA,0,LAR
15,12/19/21,NO,0,TB
15,12/20/21,MIN,0,CHI
16,12/23/21,SF,0,TEN
16,12/25/21,CLE,0,GB
16,12/25/21,IND,0,ARI
16,12/26/21,NYG,0,PHI
16,12/26/21,BAL,0,CIN
16,12/26/21,DET,0,ATL
16,12/26/21,TB,0,CAR
16,12/26/21,JAX,0,NYJ
16,12/26/21,BUF,0,NE
16,12/26/21,LAR,0,MIN
16,12/26/21,LAC,0,HOU
16,12/26/21,CHI,0,SEA
16,12/26/21,DEN,0,LV
16,12/26/21,PIT,0,KC
16,12/26/21,WAS,0,DAL
16,12/27/21,MIA,0,NO
17,1/2/22,ARI,0,DAL
17,1/2/22,KC,0,CIN
17,1/2/22,ATL,0,BUF
17,1/2/22,LV,0,IND
17,1/2/22,MIA,0,TEN
17,1/2/22,NYG,0,CHI
17,1/2/22,PHI,0,WAS
17,1/2/22,CAR,0,NO
17,1/2/22,TB,0,NYJ
17,1/2/22,JAX,0,NE
17,1/2/22,HOU,0,SF
17,1/2/22,DEN,0,LAC
17,1/2/22,LAR,0,BAL
17,1/2/22,DET,0,SEA
17,1/2/22,MIN,0,GB
17,1/3/22,CLE,0,PIT
18,1/9/22,IND,0,JAX
18,1/9/22,CIN,0,CLE
18,1/9/22,CAR,0,TB
18,1/9/22,PIT,0,BAL
18,1/9/22,NO,0,ATL
18,1/9/22,NYJ,0,BUF
18,1/9/22,CHI,0,MIN
18,1/9/22,TEN,0,HOU
18,1/9/22,WAS,0,NYG
18,1/9/22,GB,0,DET
18,1/9/22,DAL,0,PHI
18,1/9/22,NE,0,MIA
18,1/9/22,SF,0,LAR
18,1/9/22,LAC,0,LV
18,1/9/22,SEA,0,ARI
18,1/9/22,KC,0,DEN
19,1/15/22,LV,0,CIN
19,1/15/22,NE,0,BUF
19,1/16/22,PHI,0,TB
19,1/16/22,SF,0,DAL
19,1/16/22,PIT,0,KC
19,1/17/22,ARI,0,LAR
