"AwayTm","HomeTm","P.Score1","P.Score2","Actual.Score1","Actual.Score2","A1.Diff","A2.Diff","P.Winner","A.Winner","C.Winner"
"SFO","TEN",21.959939956665,16.415771484375,23,34,1.04,17.58,"SFO","TEN",0
"CLE","GNB",18.3166522979736,26.1126327514648,14,37,4.32,10.89,"GNB","GNB",1
"IND","ARI",20.7783317565918,18.6583232879639,20,25,0.78,6.34,"IND","ARI",0
"NYG","PHI",18.1919574737549,21.9778518676758,3,20,15.19,1.98,"PHI","PHI",1
"BAL","CIN",19.592716217041,16.7255992889404,19,34,0.59,17.27,"BAL","CIN",0
"DET","ATL",20.7600078582764,26.7748184204102,29,15,8.24,11.77,"ATL","DET",0
"TAM","CAR",17.9689884185791,19.9456977844238,28,10,10.03,9.95,"CAR","TAM",0
"JAX","NYJ",27.9955635070801,18.5148963928223,10,24,18,5.49,"JAX","NYJ",0
"BUF","NWE",25.680046081543,17.4889144897461,29,50,3.32,32.51,"BUF","NWE",0
"LAR","MIN",24.4722366333008,18.5243072509766,20,10,4.47,8.52,"LAR","LAR",1
"LAC","HOU",21.6418647766113,21.2796478271484,34,7,12.36,14.28,"LAC","LAC",1
"CHI","SEA",21.0923461914062,21.2288074493408,29,51,7.91,29.77,"SEA","SEA",1
"DEN","LVR",14.3173580169678,21.5475215911865,13,23,1.32,1.45,"LVR","LVR",1
"PIT","KAN",28.032772064209,24.1380729675293,26,31,2.03,6.86,"PIT","KAN",0
"WAS","DAL",22.1346702575684,28.8624610900879,16,22,6.13,6.86,"DAL","DAL",1
"MIA","NOR",20.4804954528809,20.59375,3,18,17.48,2.59,"NOR","NOR",1
