"Tm","Year","Week","Loc","Tm.Score","Total_Yards.Tot","Total_Yards.Ply","Total_Yards.Y.P","Total_Yards.TO","Pass_Stats.Cmp","Pass_Stats.Att","Pass_Stats.Cmp.","Pass_Stats.Yds","Pass_Stats.TD","Pass_Stats.Int","Pass_Stats.Sk","Pass_Stats.SkYds","Pass_Stats.Rate","Rush_Stats.Yds","Rush_Stats.Y.A","Rush_Stats.TD","Rush_Stats.Att","Penalties.Pen","Penalties.Yds","Opp.Total_Yards.Tot","Opp.Total_Yards.Ply","Opp.Total_Yards.Y.P","Opp.Total_Yards.TO","Opp.Pass_Stats.Cmp","Opp.Pass_Stats.Att","Opp.Pass_Stats.Cmp.","Opp.Pass_Stats.Yds","Opp.Pass_Stats.TD","Opp.Pass_Stats.Int","Opp.Pass_Stats.Sk","Opp.Pass_Stats.SkYds","Opp.Pass_Stats.Rate","Opp.Rush_Stats.Yds","Opp.Rush_Stats.Y.A","Opp.Rush_Stats.TD","Opp.Rush_Stats.Att","Opp.Penalties.Pen","Opp.Penalties.Yds"
"JAX",2018,10,0,26,415,73,5.6849,2,27,39,69.2,324,2,0,0,0,111.5,91,2.68,1,25,8,61,366,52,7.0385,2,21,29,72.4,285,3,1,0,0,123.5,81,3.52,1,3,7,45
"DET",2020,8,1,21,326,60,5.4333,3,24,42,57.1,297,3,1,5,39,96.9,29,2.23,0,12,4,76,366,75,4.88,0,23,34,67.6,247,3,0,2,15,120,119,3.05,2,16.884236453202,3,19
"LAC",2019,16,1,17,284,56,5.0714,0,27,39,69.2,265,0,0,1,14,89.6,19,1.19,2,9,2,15,366,62,5.9032,0,26,30,86.7,267,1,0,3,24,118.2,99,3.41,2,31,5,47
"ATL",2018,13,1,16,131,45,2.9111,2,16,27,59.3,97,1,0,3,34,84,34,2.27,0,14,8,82,366,77,4.7532,2,15,26,57.7,159,0,0,2,8,76.9,207,4.22,1,16.884236453202,9,88
"HOU",2019,3,0,27,376,55,6.8364,2,25,34,73.5,337,3,0,2,14,135.8,39,2.05,1,6,6,65,366,69,5.3043,2,31,46,67.4,293,2,0,5,25,101.5,73,4.06,0,8,7,69
"KAN",2019,17,1,31,336,48,7,2,16,25,64,174,1,1,0,0,81.1,162,7.04,2,3,5,39,366,74,4.9459,3,31,46,67.4,258,2,2,3,23,80.1,108,4.32,1,2,8,40
"ARI",2020,1,0,24,404,78,5.1795,2,26,40,65,224,1,1,2,6,78.1,180,5,2,21,9,102,366,61,6,0,19,33,57.6,243,2,0,3,16,103,123,4.92,0,2,5,53
"ATL",2018,9,0,38,491,64,7.6719,2,26,38,68.4,337,4,1,2,13,121.6,154,6.42,1,1,7,50,366,64,5.7188,2,30,46,65.2,287,1,1,3,19,82.3,79,5.27,1,14,10,147
"PIT",2020,16,1,28,354,64,5.5313,0,34,49,69.4,332,3,0,1,9,109.3,22,1.57,1,13,6,49,365,67,5.4478,3,21,34,61.8,238,1,1,5,32,84.2,127,4.54,2,32,9,83
"CAR",2020,14,1,27,370,65,5.6923,0,30,40,75,245,0,0,4,38,94.1,125,5.95,3,5,7,48,365,58,6.2931,2,21,27,77.8,269,4,0,1,11,149.5,96,3.2,0,29,2,18
"GNB",2020,7,0,35,379,61,6.2131,0,23,34,67.6,283,4,0,0,0,132.4,96,3.56,1,33,5,40,365,64,5.7031,2,29,39,74.4,286,2,0,3,23,114.2,79,3.59,0,4,6,55
