"Tm","Year","Week","Loc","Tm.Score","Total_Yards.Tot","Total_Yards.Ply","Total_Yards.Y.P","Total_Yards.TO","Pass_Stats.Cmp","Pass_Stats.Att","Pass_Stats.Cmp.","Pass_Stats.Yds","Pass_Stats.TD","Pass_Stats.Int","Pass_Stats.Sk","Pass_Stats.SkYds","Pass_Stats.Rate","Rush_Stats.Yds","Rush_Stats.Y.A","Rush_Stats.TD","Rush_Stats.Att","Penalties.Pen","Penalties.Yds","Opp.Total_Yards.Tot","Opp.Total_Yards.Ply","Opp.Total_Yards.Y.P","Opp.Total_Yards.TO","Opp.Pass_Stats.Cmp","Opp.Pass_Stats.Att","Opp.Pass_Stats.Cmp.","Opp.Pass_Stats.Yds","Opp.Pass_Stats.TD","Opp.Pass_Stats.Int","Opp.Pass_Stats.Sk","Opp.Pass_Stats.SkYds","Opp.Pass_Stats.Rate","Opp.Rush_Stats.Yds","Opp.Rush_Stats.Y.A","Opp.Rush_Stats.TD","Opp.Rush_Stats.Att","Opp.Penalties.Pen","Opp.Penalties.Yds"
"GNB",2019,8,0,31,374,64,5.8438,0,23,33,69.7,256,3,0,5,49,129,118,4.54,1,34,4,25,337,58,5.8103,2,24,36,66.7,249,2,0,2,18,107.1,88,4.4,1,7,3,30
"GNB",2020,9,0,34,405,63,6.4286,0,25,31,80.6,294,4,0,1,11,147.2,111,3.58,0,30,5,45,337,53,6.3585,3,22,35,62.9,282,1,1,1,9,86.7,55,3.24,1,10,4,33
"NYG",2020,6,1,20,240,46,5.2174,2,12,19,63.2,108,1,1,1,4,74.9,132,5.08,0,34,4,30,337,69,4.8841,3,31,42,73.8,251,2,1,3,29,97.3,86,3.58,0,1,8,50
"TEN",2020,12,0,45,449,68,6.6029,0,13,22,59.1,220,1,0,1,1,108.3,229,5.09,4,16.884236453202,9,63,336,67,5.0149,2,24,44,54.5,280,2,1,2,15,81.2,56,2.67,2,5,6,50
"SEA",2021,1,0,28,381,53,7.1887,2,18,23,78.3,241,4,0,3,13,152.3,140,5.19,0,33,7,53,336,71,4.7324,2,25,38,65.8,223,2,0,3,28,102,113,3.77,0,29,2,16
"LAC",2019,17,0,21,366,74,4.9459,3,31,46,67.4,258,2,2,3,23,80.1,108,4.32,1,2,8,40,336,48,7,2,16,25,64,174,1,1,0,0,81.1,162,7.04,2,3,5,39
"DAL",2020,17,0,19,307,80,3.8375,2,29,47,61.7,199,0,1,6,45,66.3,108,4,1,33,6,58,336,55,6.1091,3,17,25,68,211,2,1,2,18,106.9,125,4.46,1,32,6,45
"NWE",2021,2,0,25,260,57,4.5614,0,22,30,73.3,159,0,0,3,27,89,101,4.21,2,1,6,54,336,68,4.9412,5,19,33,57.6,184,0,4,4,26,37,152,4.9,0,30,8,77
"MIA",2018,1,1,27,342,58,5.8966,3,20,28,71.4,222,2,2,1,8,89.9,120,4.14,0,31,7,51,336,67,5.0149,4,20,38,52.6,220,0,3,0,0,37.2,116,4,1,31,5,48
"GNB",2019,4,1,27,491,74,6.6351,3,34,53,64.2,414,2,1,1,8,93.4,77,3.85,1,7,5,50,336,60,5.6,0,16,27,59.3,160,3,0,0,0,113.2,176,5.33,2,28,9,93
"PIT",2020,5,1,38,367,67,5.4776,2,27,34,79.4,231,3,0,1,8,125.4,136,4.25,2,27,8,86,336,57,5.8947,3,21,36,58.3,242,2,2,5,34,78,94,5.88,2,9,9,84
"LAC",2018,13,0,33,371,60,6.1833,0,26,36,72.2,286,2,0,2,13,115.4,85,3.86,1,4,5,80,336,63,5.3333,2,29,45,64.4,271,2,1,1,10,87.4,65,3.82,2,10,7,59
"SFO",2019,10,1,24,302,78,3.8718,4,24,46,52.2,215,1,1,5,33,66.2,87,3.22,0,33,5,40,336,73,4.6027,5,24,34,70.6,189,1,1,5,43,86.9,147,4.32,1,25,9,75
"NYG",2019,12,0,14,243,58,4.1897,2,21,36,58.3,134,2,0,1,16,86.6,109,5.19,0,5,6,35,335,69,4.8551,3,25,41,61,270,1,2,2,8,69,65,2.5,1,34,6,40
"MIN",2019,2,0,16,421,60,7.0167,5,14,32,43.8,223,1,2,1,7,52.9,198,7.33,1,33,8,100,335,69,4.8551,3,22,34,64.7,191,2,0,2,18,101.2,144,4.36,1,28,6,35
"DAL",2019,5,1,24,563,68,8.2794,4,27,44,61.4,441,2,3,3,22,83.8,122,5.81,1,5,11,124,335,65,5.1538,0,22,34,64.7,215,0,0,2,23,85.2,120,4.14,4,31,9,78
"PHI",2018,8,0,24,395,62,6.371,3,21,30,70,262,3,1,4,24,119.6,133,4.75,0,32,4,36,335,62,5.4032,2,24,41,58.5,265,1,0,4,21,88.1,70,4.12,0,10,5,45
"TAM",2020,14,1,26,303,49,6.1837,0,15,23,65.2,196,2,0,0,0,120.9,107,4.12,1,34,5,34,335,76,4.4079,2,24,37,64.9,173,1,0,6,52,90.5,162,4.91,1,28,5,71
"DAL",2021,6,0,35,567,82,6.9146,3,36,51,70.6,445,3,1,0,0,108.7,122,3.94,0,30,12,119,335,50,6.7,3,15,21,71.4,215,2,1,2,14,118.9,120,4.44,2,33,5,47
"GNB",2019,13,0,31,322,59,5.4576,0,21,33,63.6,243,4,0,0,0,125.4,79,3.04,0,34,7,54,335,64,5.2344,4,20,37,54.1,240,1,3,0,0,49.4,95,3.52,0,33,4,31
"OAK",2018,10,1,6,317,63,5.0317,2,24,37,64.9,203,0,0,4,40,83.5,114,5.18,0,4,6,55,335,53,6.3208,2,18,26,69.2,222,2,1,1,1,105.1,113,4.35,0,34,6,70
"PIT",2020,14,0,15,224,55,4.0727,3,21,37,56.8,177,2,2,1,10,65.9,47,2.76,0,10,3,55,334,71,4.7042,3,24,43,55.8,230,2,1,1,8,77.5,104,3.85,0,33,7,48
"BUF",2020,5,0,16,370,69,5.3623,4,29,46,63,275,2,2,1,10,76.8,95,4.32,0,4,10,56,334,62,5.3871,0,21,28,75,195,3,0,0,0,129.3,139,4.09,3,25,6,46
"BAL",2020,12,0,14,219,49,4.4694,3,9,18,50,90,1,1,3,20,64.6,129,4.61,1,32,7,86,334,71,4.7042,3,36,51,70.6,266,1,1,0,0,81,68,3.4,0,7,5,40
"SEA",2020,16,1,20,292,61,4.7869,0,20,32,62.5,197,1,0,5,28,93.9,95,3.96,1,1,5,31,334,75,4.4533,2,24,43,55.8,216,0,1,3,18,61.6,118,4.07,0,31,5,45
"LAR",2019,16,0,31,395,70,5.6429,2,27,46,58.7,323,2,1,0,0,85.7,72,3,2,1,7,43,334,56,5.9643,3,16,27,59.3,215,1,2,6,33,71.2,119,5.17,2,3,3,26
"NOR",2019,11,0,34,328,64,5.125,0,28,35,80,219,3,0,1,9,122.4,109,3.89,0,32,9,76,334,61,5.4754,5,30,51,58.8,298,2,4,2,15,57.1,36,4.5,0,19,7,55
"IND",2018,2,0,21,281,60,4.6833,3,21,31,67.7,177,2,2,1,2,77.2,104,3.71,1,32,6,26,334,71,4.7042,2,33,46,71.7,269,0,0,3,23,88.3,65,2.95,0,4,7,90
"NWE",2018,8,0,25,387,72,5.375,0,29,45,64.4,311,0,0,2,13,85.8,76,3.04,1,2,5,33,333,63,5.2857,3,24,41,58.5,287,0,1,3,26,72.5,46,2.42,0,6,6,51
"CIN",2019,14,0,19,451,72,6.2639,2,23,39,59,272,0,1,2,16,71.3,179,5.77,1,30,8,99,333,52,6.4038,3,11,24,45.8,187,0,2,1,5,38.9,146,5.41,2,33,6,30
"CHI",2018,12,0,23,264,57,4.6316,2,28,38,73.7,226,2,0,4,12,107.1,38,2.53,0,14,3,20,333,64,5.2031,3,28,38,73.7,222,0,2,2,14,67.4,111,4.63,2,1,5,54
"BUF",2018,12,1,24,327,54,6.0556,0,8,19,42.1,160,1,0,0,0,89.8,167,4.77,2,26,13,80,333,65,5.1231,3,12,23,52.2,107,1,2,3,20,46.8,226,5.79,2,16.884236453202,10,90
"CLE",2020,16,0,16,299,75,3.9867,3,28,53,52.8,254,0,0,4,31,68.5,45,2.5,2,8,6,51,333,69,4.8261,0,17,33,51.5,202,3,0,2,16,102.8,131,3.85,0,25,7,58
"ARI",2020,17,0,7,214,49,4.3673,2,19,27,70.4,166,1,1,4,26,87.3,48,2.67,0,8,6,38,333,70,4.7571,3,22,38,57.9,223,0,1,2,8,64.7,110,3.67,0,29,5,38
"LAR",2020,10,1,23,389,69,5.6377,2,27,37,73,283,0,0,3,19,96.9,106,3.66,3,31,4,49,333,65,5.1231,4,22,37,59.5,220,0,2,6,28,57,113,5.14,1,4,4,23
"NOR",2020,13,0,21,424,75,5.6533,2,27,37,73,217,2,0,2,15,107,207,5.75,1,21,10,79,332,63,5.2698,2,19,39,48.7,262,1,0,3,11,80.4,70,3.33,0,5,1,15
"LAC",2020,12,0,17,367,79,4.6456,2,31,52,59.6,291,1,1,3,25,75.5,76,3.17,1,1,5,91,332,58,5.7241,4,19,25,76,160,2,1,3,17,104.9,172,5.73,1,29,9,85
"GNB",2018,15,0,17,323,66,4.8939,2,25,42,59.5,235,0,1,5,39,68.9,88,4.63,1,6,7,48,332,58,5.7241,2,20,28,71.4,232,2,0,1,3,120.4,100,3.45,1,31,4,24
"MIN",2018,17,1,10,164,52,3.1538,0,20,33,60.6,101,1,0,4,31,79.4,63,4.2,0,14,3,30,332,63,5.2698,0,18,26,69.2,163,0,0,0,0,85.9,169,4.57,3,22,11,102
"MIA",2018,5,0,17,297,60,4.95,4,20,35,57.1,169,1,2,3,16,57.4,128,5.82,0,4,9,85,332,58,5.7241,2,20,30,66.7,229,1,1,2,19,89.3,103,3.96,0,34,6,47
"KAN",2019,13,1,40,259,59,4.3898,0,15,29,51.7,163,1,0,1,12,81.8,96,3.31,3,31,0,0,332,57,5.8246,4,20,30,66.7,210,1,2,2,12,71.8,122,4.88,0,2,12,99
"CIN",2020,5,0,3,205,65,3.1538,4,19,30,63.3,135,0,1,7,48,66.4,70,2.5,0,32,5,40,332,62,5.3548,2,19,37,51.4,171,2,1,1,9,71.9,161,6.71,0,1,4,25
"KAN",2019,5,1,13,324,57,5.6842,2,22,39,56.4,288,1,0,4,33,91.9,36,2.57,0,13,11,125,331,74,4.473,2,18,29,62.1,151,0,1,0,0,61.1,180,4,1,16.884236453202,7,50
"SEA",2018,8,0,28,413,61,6.7705,0,14,17,82.4,237,3,0,2,11,158.3,176,4.19,1,16.884236453202,7,111,331,56,5.9107,4,27,40,67.5,297,2,1,3,13,96.9,34,2.62,0,12,4,32
"LVR",2021,2,0,26,425,64,6.6406,0,28,37,75.7,373,2,0,2,9,126.2,52,2.08,0,2,5,40,331,56,5.9107,2,27,40,67.5,292,1,1,2,3,87,39,2.79,1,13,5,43
"ARI",2018,4,1,17,263,56,4.6964,2,15,27,55.6,171,1,0,1,9,88.5,92,3.29,1,32,5,38,331,62,5.3387,0,19,26,73.1,160,0,0,2,12,90.5,171,5.03,2,25,8,57
"SFO",2018,13,0,16,452,74,6.1081,4,30,48,62.5,386,2,1,3,28,95.3,66,2.87,0,3,13,128,331,49,6.7551,0,11,17,64.7,163,4,0,3,22,140.9,168,5.79,1,31,10,100
"LAR",2019,6,1,7,157,50,3.14,2,13,24,54.2,48,0,0,4,30,60.8,109,4.95,1,4,8,59,331,76,4.3553,3,24,33,72.7,232,0,1,2,11,80.7,99,2.41,2,16.884236453202,4,30
"BAL",2019,13,1,20,283,62,4.5645,2,14,23,60.9,105,1,0,1,0,86.3,178,4.68,1,23,3,23,331,52,6.3654,2,15,21,71.4,157,1,0,2,8,110.2,174,6,1,31,6,54
"DAL",2018,12,1,31,404,69,5.8551,0,22,31,71,258,2,0,4,31,121.6,146,4.29,2,25,4,30,331,61,5.4262,4,24,38,63.2,251,2,3,3,17,68.7,80,4,1,7,4,25
"IND",2018,1,1,23,380,77,4.9351,3,39,53,73.6,305,2,1,2,14,93.2,75,3.41,0,4,7,91,330,50,6.6,3,21,28,75,229,2,1,2,14,109.7,101,5.05,1,7,8,94
"KAN",2020,13,1,22,447,63,7.0952,0,25,40,62.5,313,1,0,1,5,95.6,134,6.09,0,4,5,44,330,61,5.4098,3,15,28,53.6,151,2,2,0,0,63.2,179,5.42,0,28,4,31
"ARI",2018,10,0,14,260,69,3.7681,3,22,39,56.4,166,1,2,5,42,58.5,94,3.76,1,2,3,30,330,56,5.8929,0,21,28,75,212,2,0,5,37,125.4,118,5.13,1,3,8,63
"LVR",2021,3,1,31,497,81,6.1358,2,26,43,60.5,357,2,1,3,29,95.7,140,4,1,26,8,104,330,78,4.2308,0,32,49,65.3,197,0,0,2,18,74.8,133,4.93,2,33,8,68
"NOR",2019,17,0,42,379,67,5.6567,0,20,31,64.5,264,3,0,1,3,124,115,3.29,2,26,3,44,329,69,4.7681,4,26,49,53.1,288,0,2,2,11,54.7,41,2.28,1,8,5,54
"NOR",2020,8,0,26,394,72,5.4722,0,31,41,75.6,272,2,0,1,8,109.8,122,4.07,0,29,5,45,329,69,4.7681,2,28,41,68.3,233,2,1,5,39,92.7,96,4.17,0,3,7,53
"ATL",2019,17,0,28,373,87,4.2874,2,30,51,58.8,286,1,0,6,27,83.2,87,2.9,0,29,5,53,329,46,7.1522,4,13,24,54.2,193,2,2,1,8,75.2,136,6.48,0,5,12,97
"PIT",2019,9,1,26,273,61,4.4754,3,26,35,74.3,183,1,1,1,8,84.3,90,3.6,0,2,5,70,328,65,5.0462,4,21,31,67.7,189,3,1,5,38,107.9,139,4.79,0,31,7,89
"TAM",2019,11,1,17,334,61,5.4754,5,30,51,58.8,298,2,4,2,15,57.1,36,4.5,0,19,7,55,328,64,5.125,0,28,35,80,219,3,0,1,9,122.4,109,3.89,0,32,9,76
"SFO",2021,2,0,17,306,68,4.5,0,22,30,73.3,189,1,0,0,0,100.6,117,3.08,1,23,5,60,328,55,5.9636,0,12,24,50,177,0,0,2,13,76.7,151,5.21,1,31,8,57
"SEA",2020,17,0,26,280,65,4.3077,0,20,36,55.6,159,2,0,2,22,87.8,121,4.48,1,33,4,35,328,64,5.125,2,25,37,67.6,242,1,0,3,31,98.1,86,3.58,1,1,2,25
"GNB",2020,4,1,30,403,60,6.7167,0,27,33,81.8,315,4,0,1,12,147.5,88,3.38,0,34,3,30,327,68,4.8088,0,28,39,71.8,249,0,0,4,36,92.4,78,3.12,2,2,3,23
"JAX",2018,12,0,21,333,65,5.1231,3,12,23,52.2,107,1,2,3,20,46.8,226,5.79,2,16.884236453202,10,90,327,54,6.0556,0,8,19,42.1,160,1,0,0,0,89.8,167,4.77,2,26,13,80
"PIT",2018,1,0,21,472,80,5.9,8,23,41,56.1,313,1,3,4,22,60.5,159,4.54,2,26,12,116,327,85,3.8471,2,15,40,37.5,150,1,1,7,47,51.8,177,4.66,2,23,11,87
"NOR",2018,2,1,21,275,61,4.5082,3,28,35,80,213,2,0,3,30,114.6,62,2.7,0,3,4,53,327,60,5.45,2,22,30,73.3,234,1,1,3,12,94.6,93,3.44,1,33,4,43
"MIN",2021,4,1,7,255,63,4.0476,2,20,38,52.6,190,1,1,2,13,66,65,2.83,0,3,7,42,327,74,4.4189,0,15,33,45.5,143,0,0,3,12,59.5,184,4.84,1,23,7,73
"LAC",2021,6,0,6,208,53,3.9245,2,22,39,56.4,182,1,1,2,13,67.8,26,2.17,0,11,4,35,327,68,4.8088,3,19,27,70.4,140,1,2,3,27,68,187,4.92,3,23,2,15
"NYG",2020,13,0,17,290,55,5.2727,2,13,22,59.1,100,1,1,2,5,67.4,190,6.13,1,30,6,35,327,70,4.6714,3,27,43,62.8,216,1,1,5,47,78,111,5.05,0,4,6,41
"MIN",2018,1,1,24,343,71,4.831,2,20,36,55.6,227,2,0,3,17,95.1,116,3.63,0,27,7,52,327,61,5.3607,5,15,33,45.5,237,1,3,3,24,45.1,90,3.6,0,2,3,21
"IND",2020,8,0,41,366,75,4.88,0,23,34,67.6,247,3,0,2,15,120,119,3.05,2,16.884236453202,3,19,326,60,5.4333,3,24,42,57.1,297,3,1,5,39,96.9,29,2.23,0,12,4,76
"JAX",2019,6,1,6,226,55,4.1091,2,14,29,48.3,151,0,1,2,12,51.4,75,3.13,0,1,2,15,326,65,5.0154,0,24,36,66.7,222,1,0,3,18,94.7,104,4,0,34,3,35
"CIN",2019,4,0,3,175,64,2.7344,3,21,37,56.8,102,0,1,8,69,57.4,73,3.84,0,6,8,60,326,56,5.8214,2,27,31,87.1,260,2,0,0,0,123.1,66,2.64,1,2,4,37
"WAS",2020,13,0,23,318,70,4.5429,0,31,46,67.4,273,1,0,3,23,92.3,45,2.14,1,5,9,62,326,67,4.8657,2,33,53,62.3,305,2,1,0,0,82.7,21,1.5,0,13,6,45
"SFO",2018,16,1,9,279,54,5.1667,2,22,38,57.9,232,0,1,1,9,65.8,47,3.13,0,14,6,45,325,60,5.4167,3,25,29,86.2,235,1,0,3,11,113.5,90,3.21,1,32,4,30
"LAC",2018,11,1,22,479,72,6.6528,3,28,43,65.1,384,2,2,3,17,91.3,95,3.65,0,34,14,120,325,52,6.25,0,20,33,60.6,217,0,0,0,0,80,108,5.68,3,6,7,43
"ARI",2018,13,0,20,315,57,5.5263,0,11,26,42.3,133,0,0,2,16,61.2,182,6.28,2,31,7,49,325,74,4.3919,0,31,50,62,227,1,0,1,6,79.8,98,4.26,1,3,7,43
"NWE",2018,1,1,27,389,72,5.4028,4,26,39,66.7,267,3,1,2,10,102.2,122,3.94,0,30,6,36,325,71,4.5775,3,17,34,50,158,1,1,3,18,62.9,167,4.91,1,25,6,44
"PHI",2020,7,1,22,442,72,6.1389,2,25,43,58.1,346,2,1,3,13,91.1,96,3.69,1,34,7,75,325,55,5.9091,4,20,30,66.7,165,2,1,3,22,91.9,160,7.27,1,4,9,62
"ARI",2018,11,1,21,282,52,5.4231,3,9,20,45,128,3,2,1,8,67.9,154,4.97,0,30,7,62,325,68,4.7794,0,19,31,61.3,173,2,0,4,19,100.5,152,4.61,0,28,4,20
"CAR",2018,8,1,36,386,63,6.127,0,22,30,73.3,232,2,0,0,0,117.6,154,4.67,2,28,4,30,325,64,5.0781,4,26,44,59.1,224,2,2,2,14,70.1,101,5.61,1,8,9,68
"CIN",2020,11,0,9,272,66,4.1212,3,25,44,56.8,202,1,1,4,31,69.6,70,3.89,0,8,3,31,325,61,5.3279,2,17,25,68,161,1,1,2,5,83.1,164,4.82,1,25,6,49
"PIT",2018,5,1,41,381,58,6.569,2,19,29,65.5,250,3,1,0,0,112.7,131,4.52,2,31,7,58,324,70,4.6286,2,31,45,68.9,262,1,0,6,43,95.1,62,3.26,1,6,7,75
"PIT",2020,10,1,36,377,66,5.7121,0,27,46,58.7,333,4,0,0,0,110.1,44,2.2,0,7,6,45,324,65,4.9846,3,21,40,52.5,185,1,0,4,28,76.4,139,6.62,0,5,6,65
"PHI",2020,11,0,17,315,65,4.8462,4,21,35,60,209,2,2,5,26,75.3,106,4.24,0,2,5,33,324,65,4.9846,2,12,22,54.5,187,0,0,3,17,86.2,137,3.43,1,16.884236453202,3,53
"CAR",2019,16,0,6,286,71,4.0282,4,28,45,62.2,199,0,3,5,37,48,87,4.14,0,5,6,46,324,62,5.2258,0,14,27,51.9,106,0,0,3,13,63.7,218,6.81,3,27,0,0
"IND",2019,5,0,19,331,74,4.473,2,18,29,62.1,151,0,1,0,0,61.1,180,4,1,16.884236453202,7,50,324,57,5.6842,2,22,39,56.4,288,1,0,4,33,91.9,36,2.57,0,13,11,125
"GNB",2020,8,1,22,400,66,6.0606,2,27,41,65.9,291,3,0,1,0,110.9,109,4.54,0,1,9,85,324,49,6.6122,0,11,14,78.6,151,1,0,1,9,138.1,173,5.09,3,25,7,36
"JAX",2018,1,0,20,305,62,4.9194,2,18,33,54.5,168,1,1,1,8,67.2,137,4.89,0,32,11,119,324,62,5.2258,3,23,37,62.2,210,0,1,2,14,67.8,114,4.96,1,3,6,43
"TAM",2020,4,1,38,484,73,6.6301,2,30,46,65.2,369,5,1,0,0,117,115,4.26,0,33,8,90,324,50,6.48,3,20,25,80,278,3,1,2,12,137.9,46,2,0,3,7,60
"GNB",2020,6,0,10,201,61,3.2951,3,16,35,45.7,107,0,2,5,53,35.4,94,4.48,1,5,6,76,324,63,5.1429,0,17,28,60.7,166,2,0,0,0,101.2,158,4.51,2,26,0,0
"NYJ",2018,3,0,17,268,63,4.254,4,15,31,48.4,161,0,2,2,8,38.2,107,3.57,2,29,6,55,323,74,4.3649,0,21,37,56.8,190,0,0,4,30,74.2,133,4.03,2,28,5,41
"WAS",2018,7,1,20,305,58,5.2586,0,14,25,56,175,1,0,1,3,91.7,130,4.06,0,27,5,35,323,61,5.2951,3,22,35,62.9,250,1,0,4,23,96.5,73,3.32,1,4,8,65
"ATL",2018,11,1,19,354,55,6.4364,2,24,34,70.6,274,1,1,3,17,94.1,80,4.44,0,8,2,15,323,63,5.127,0,22,32,68.8,191,0,0,2,17,86.5,132,4.55,2,31,2,20
"TEN",2020,1,0,16,377,78,4.8333,0,29,43,67.4,247,2,0,1,2,97.9,130,3.82,0,25,5,37,323,59,5.4746,2,22,33,66.7,216,1,0,0,0,95,107,4.12,1,34,5,56
"CHI",2018,15,1,24,332,58,5.7241,2,20,28,71.4,232,2,0,1,3,120.4,100,3.45,1,31,4,24,323,66,4.8939,2,25,42,59.5,235,0,1,5,39,68.9,88,4.63,1,6,7,48
"DET",2021,2,0,17,344,56,6.1429,3,26,36,72.2,236,2,1,1,10,97.7,108,5.68,0,6,9,78,323,61,5.2951,0,22,27,81.5,227,4,0,3,28,145.6,96,3.1,1,30,5,50
"CHI",2021,6,1,14,277,57,4.8596,2,16,27,59.3,137,1,1,4,37,75.2,140,5.38,1,34,7,54,323,57,5.6667,0,17,23,73.9,169,2,0,3,26,128,154,4.97,1,30,3,51
"NWE",2020,4,0,10,357,74,4.8243,5,20,37,54.1,172,1,3,2,18,43.7,185,5.29,0,26,4,43,323,55,5.8727,2,19,29,65.5,229,2,0,1,7,113.6,94,3.76,0,2,4,38
